,crawling
135,"상품 추천·직원 교육까지, 보험사 AI 안되는게 없네 - 상품 추천 ..."
136,전남매일
137,"""눈 앞에 닥친 기후위기, 클라우드·AI가 극복 열쇠"""
138,이천 '신장투석' 병원 화재…환자·간호사 등 5명 사망
139,[부고] 임대근(현대해상화재보험 부장)씨 부친상
140,화재건물내 구조 대상자 파악하는 AI시스템 개발 추진
141,구름만이 아는 번개의 비밀...이제는 인공지능이 미리 예측한다
142,"LG엔솔 ""수주잔고 300조원 이상…배터리 화재 누명쓰지 않을 것”"
143,기간 맞춤설정
144,"[FPN-소방방재신문] 전기자동차 화재, 어떻게 해결해야 할까?"
145,광주 광산구 교회서 화재…인명피해 없어
146,국민안전로봇실증센터 최종실증위원회를 다녀와서...
147,여수시 한 아파트 지하주차장서 차량 화재...인명피해 없어
148,광주 카센터서 화재…인명피해 없어
149,부산 도심서 고압전류 개폐기 화재…주택·상가 950여 곳 정전
150,[FPN-소방방재신문] '양치기소년 감지기 거짓말 가려낸다'… (주 ...
151,"[뉴스핌 라씨로] '물류창고 화재' 크리스에프앤씨, 매출 타격에 보험한도 초과 '이중고'"
152,"KT, 군포 1기 신도시 소방안전 강화한다"
153,"Vision AI 선구자 인텔리빅스, 상장 플랜 본격화"
154,기간 맞춤설정
155,삼척 산양리 간이화장실 화재...환풍기 누전 추정
156,"[재미있는 ICT] 체온을 전기로, 소리로 화재감지…ICT의 진화"
157,삼성화재 다이렉트 '보험 피팅 서비스'…고객에게 착! 맞는 보장 추천한다
158,"SAS, 인공지능 분석 기술로 환경 보호에 앞장...세계 최대 ..."
159,부산 해운대 아파트서 화재… 입주민 100여 명 대피 소동
160,"'화마 뚫고 촬영된 드론영상, 곧바로 市관제센터로'…광주 민관 ..."
161,중기부 '전통시장 화재알림시설 큰 불 막아'..29일까지 지원사업 ...
162,카톡·토스처럼…보험사들 '디지털 전환' 속도
163,[영상] 울산 에쓰오일 폭발·화재…중경상 등 9명으로 늘어(종합)
164,"[스페셜리포트]② ""24시간 우리를 지켜주는 AI가 있다?""...일상에 ..."
165,기간 맞춤설정
166,스마트히터•센서로 태양광 시설 화재 막는다…'파루 新기술' 접속 ...
167,[CES 2022] AI·IoT 연결 중점 보쉬가 정의하는 핵심기술
168,“끄는 법 있는데 켜는 법 없다”… 구멍 난 법에 멈춘 화재경보기
169,'안전이 제일'… 부산기업들 화재·방범 혁신기술 개발성과
170,"현대重그룹, AI 기반 화재 감시시스템 개발"
171,"KT, '커피명가' 카페 40여곳에 AI 통화비서 공급"
172,"일가족 목숨 앗은 아파트 화재경보 시스템, 제도 개선 '첫걸음'"
173,운동부터 음주경고까지…보험사 앱 '건강관리 매니저'로
174,김천 한 음식물쓰레기 재가공공장서 화재 4시간40분만에 진화
175,"삼성화재, 장기보험에 AI 계약 심사 시스템 도입"
176,기간 맞춤설정
177,"[이주의 보험] 롯데손보, 삼성화재, DGB생명"
178,"[네이버 어벤저스] 영수증리뷰, 명함앱…이미 당신은 '클로바 ..."
179,해운대 우동 아파트 화재 주민 200여 명 대피 소동(종합)
180,"한범덕 청주시장, 오창 공동구 인공지능 AI 로봇 시설물 점검"
181,일가족 셋 사망 재송동 아파트 화재 '인재'였나
182,[AI가상면접시스템 체험해보니] 목소리와 호흡 분석까지
183,"법원 ""선풍기 24시간 가동...과열로 인한 화재는 제조사 책임 없어"""
184,이천 관고동 병원서 화재 4명 사망·23명 중경상...고립자 구조중
185,RBC 200% 넘긴다… 흥국생명·화재 '자본확충' 속도
186,"국내 화랑가, 작품거래와 감정에 블록체인·AI 도입 추진한다"
187,기간 맞춤설정
188,"포스코ICT, AI 융합 스마트 CCTV 현장 적용 확대"
189,영덕 축산면 농가창고 화재...30분만에 진화
190,"[2021 AI기업 탐방] 알체라① “얼굴인식, 이상상황감지 사업 성장 ..."
191,경산 차 도장공장서 화재...외국인 근로자 1명 부상
192,부산 아파트 화재 '모자 참변' 10대 아들 사망… 모친은 중상
193,"고양시, 피크닉시민공원 전면 개방 및 화정역에 AI 기반 신호제어 ..."
194,"""인간·로봇 친화형 빌딩이 스마트시티의 초석"""
195,중대재해처벌법 시행으로 주목! 산업안전 솔루션 집중 분석
196,전남매일
197,김천 응명동 코오롱인더스트리 공장서 화재...인명피해 없어
198,기간 맞춤설정
199,자율주행차 보험 시동 건다... 새로운 비즈니스 모델을 만들어 ...
200,"흥국화재, 네이버클라우드와 'AI 서비스' 업무협약"
201,아홉산 산불 영향?…부산 곳곳에서 타는 냄새 신고 폭주
202,"'AI가 직접 강의한다'...AI 기업들, AI 강사 개발 경쟁 가열"
203,울진 죽변면서 SUV차량 화재·전소...인명피해 없어
204,"한국조선해양, 화재・폭발위험 없는 전기추진선 개발"
205,부산 아파트서 충전 중 전동 스쿠터 화재… 배터리 폭발로 추정
206,"""처벌만이 답 아냐""...AI업계, 중대재해 방지에 '처벌'보다 AI 활용 ..."
207,"미래車 거점 'AI 광주', 친환경차 인프라 속속 가동"
208,"인텔리빅스, 비전 AI 기술 적용한 산업안전 솔루션으로 중대재해 ..."
209,기간 맞춤설정
210,영광군 불갑면 축사 화재 인근 산으로 번져...진화중
211,함안 입곡군립공원 내 무빙보트에서 화재…저수지 뛰어내린 ...
212,삼성화재에서 물리학 박사가 AI를 하는 이유는 - 서울경제
213,국내 최고 자본시장(Capital Markets) 미디어
214,"강서구 고속도로 '전기차 화재 사망 사고', 배터리 영향?"
215,[FPN-소방방재신문] “짙은 연기 속에서도 보인다” 화재 현장 ...
216,이틀 동안 전국 8곳 동시다발 산불…전국 첫 화재경보 '심각'
217,'AI로 산불 잡는다' 미국이 산불 감시 위해 선택한 국내 스타트업 ...
218,"하이센스, 저탄소 TV 공개...보쉬, 화재 감시센서 출품 [CES 2022] - 서울경제"
219,[가봤다] 금융권 개발자 자존심 건 한판승부...'AWS 게임데이' 승자는?
220,기간 맞춤설정
221,"14일 '삼성화재 다이렉트' 관련, 캐시워크 돈버는퀴즈 정답은?"
222,대구시. '제17회 국제소방안전박람회' 개최
223,"전기안전공사 ""여름철 에어컨 화재, 이렇게 예방하세요"""
224,(SMK아젠다21) AI 기반 안전기술 개발 트렌드...산업 현장 변화 ...
